type,models,weights,roc_auc
triple,XGB_G+XGB_A+XGB_F,"[0.6, 0.2, 0.2]",0.9448718803413296
triple,XGB_G+XGB_A+XGB_F,"[0.7, 0.15, 0.15]",0.9448709650241177
triple,XGB_G+XGB_A+XGB_F,"[0.5, 0.3, 0.2]",0.9448700962400435
triple,XGB_G+XGB_A+XGB_E,"[0.6, 0.2, 0.2]",0.9448658933465761
triple,XGB_G+XGB_A+XGB_E,"[0.5, 0.3, 0.2]",0.9448654025918773
triple,XGB_G+XGB_A+XGB_F,"[0.5, 0.25, 0.25]",0.944864019553792
triple,XGB_G+XGB_A+XGB_E,"[0.5, 0.25, 0.25]",0.9448628062165823
triple,XGB_G+XGB_A+XGB_E,"[0.7, 0.15, 0.15]",0.9448626644914477
pair,XGB_G+XGB_A,"[0.6, 0.4]",0.9448624799958584
triple,XGB_G+XGB_E+XGB_F,"[0.7, 0.15, 0.15]",0.9448622224654313
rank_average,XGB_G+XGB_A,equal,0.9448598460557996
pair,XGB_G+XGB_A,"[0.5, 0.5]",0.9448596173389893
pair,XGB_G+XGB_A,"[0.7, 0.3]",0.9448595059713352
pair,XGB_G+XGB_F,"[0.8, 0.2]",0.9448579280262783
pair,XGB_G+XGB_F,"[0.75, 0.25]",0.9448569339332277
triple,XGB_G+XGB_A+XGB_C,"[0.7, 0.15, 0.15]",0.9448563548679747
pair,XGB_G+XGB_A,"[0.75, 0.25]",0.944855847829005
triple,XGB_G+XGB_A+XGB_H,"[0.7, 0.15, 0.15]",0.944855233309194
quad,XGB_G+XGB_A+XGB_E+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.9448542092931174
quad,XGB_G+XGB_A+XGB_E+XGB_D,"[0.5, 0.2, 0.15, 0.15]",0.9448540930688869
triple,XGB_G+XGB_E+XGB_F,"[0.6, 0.2, 0.2]",0.9448539698778746
triple,XGB_G+XGB_A+XGB_H,"[0.6, 0.2, 0.2]",0.9448534906982745
quad,XGB_G+XGB_A+XGB_E+XGB_D,"[0.4, 0.3, 0.2, 0.1]",0.944853102792826
triple,XGB_G+XGB_A+XGB_H,"[0.5, 0.3, 0.2]",0.9448525706175833
triple,XGB_G+XGB_A+XGB_C,"[0.6, 0.2, 0.2]",0.9448524484583998
quad,XGB_G+XGB_A+XGB_E+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.9448520544550779
triple,XGB_G+XGB_D+XGB_F,"[0.7, 0.15, 0.15]",0.9448518631789012
triple,XGB_G+XGB_B+XGB_F,"[0.7, 0.15, 0.15]",0.9448514374837043
pair,XGB_G+XGB_F,"[0.7, 0.3]",0.9448512165094867
pair,XGB_G+XGB_E,"[0.75, 0.25]",0.9448511416514932
triple,XGB_G+XGB_A+XGB_B,"[0.7, 0.15, 0.15]",0.9448510774764158
pair,XGB_G+XGB_E,"[0.7, 0.3]",0.9448508940281714
triple,XGB_G+XGB_A+XGB_C,"[0.5, 0.3, 0.2]",0.9448508701642281
pair,XGB_G+XGB_A,"[0.8, 0.2]",0.9448506364822278
quad,XGB_G+XGB_A+XGB_E+XGB_B,"[0.5, 0.2, 0.15, 0.15]",0.9448506301438526
quad,XGB_G+XGB_A+XGB_E+XGB_B,"[0.4, 0.3, 0.2, 0.1]",0.9448493057570715
pair,XGB_G+XGB_E,"[0.8, 0.2]",0.9448490529668487
triple,XGB_G+XGB_H+XGB_F,"[0.7, 0.15, 0.15]",0.9448489345936223
triple,XGB_G+XGB_A+XGB_D,"[0.5, 0.3, 0.2]",0.9448484046759893
triple,XGB_G+XGB_A+XGB_B,"[0.6, 0.2, 0.2]",0.9448483243485291
